model,seed,regime,k,zmid_m,sigma_T,sigma_S,rmse_T,rmse_S,floor_T,floor_S,n
HeaveFast,42,all,3,8.379999928296451,1.022141650869704,0.42431100047351805,1.022141650869704,0.42431100047351805,False,False,623
HeaveFast,42,all,4,13.184999737086988,1.0217680495032258,0.3621858609245097,1.0217680495032258,0.3621858609245097,False,False,623
HeaveFast,42,all,5,18.554999609614015,1.0353259374330195,0.2985281298337687,1.0353259374330195,0.2985281298337687,False,False,623
HeaveFast,42,all,6,24.894999514009285,1.0772801267781855,0.23275616467696122,1.0772801267781855,0.23275616467696122,False,False,623
HeaveFast,42,all,7,32.329999450272794,1.159722305234652,0.20006827542468475,1.159722305234652,0.20006827542468475,False,False,623
HeaveFast,42,all,8,40.329999450272794,1.2363211889498487,0.18514224265765156,1.2363211889498487,0.18514224265765156,False,False,623
HeaveFast,42,all,9,48.329999450272794,1.254779503407742,0.179940663723819,1.254779503407742,0.179940663723819,False,False,623
HeaveFast,42,all,10,56.329999450272794,1.2554488138514601,0.17923836335791077,1.2554488138514601,0.17923836335791077,False,False,623
HeaveFast,42,all,11,64.3299994502728,1.2546129727528719,0.1752237612452157,1.2546129727528719,0.1752237612452157,False,False,623
HeaveFast,42,all,12,72.3299994502728,1.2593226343920125,0.17484989219168406,1.2593226343920125,0.17484989219168406,False,False,623
HeaveFast,42,all,13,80.3299994502728,1.2681207463520683,0.17422101280282248,1.2681207463520683,0.17422101280282248,False,False,623
HeaveFast,42,all,14,88.3299994502728,1.2516008391982598,0.17325268659371132,1.2516008391982598,0.17325268659371132,False,False,623
HeaveFast,42,all,15,96.3299994502728,1.2394685579214293,0.17770988856435346,1.2394685579214293,0.17770988856435346,False,False,623
HeaveFast,42,all,16,104.3299994502728,1.2228005553307366,0.18525946517183017,1.2228005553307366,0.18525946517183017,False,False,623
HeaveFast,42,all,17,112.41128312438389,1.2130374156079873,0.18776907183608932,1.2130374156079873,0.18776907183608932,False,False,623
HeaveFast,42,all,18,124.0181019371289,1.177842535394897,0.1912616279218064,1.177842535394897,0.1912616279218064,False,False,623
HeaveFast,42,all,19,138.33536150362164,1.1338265308841327,0.18847690569642628,1.1338265308841327,0.18847690569642628,False,False,623
HeaveFast,42,all,20,157.18840503599694,1.0984640101847007,0.16428292361173247,1.0984640101847007,0.16428292361173247,False,False,623
HeaveFast,42,all,21,198.628367477501,1.003981716314641,0.13959690503280378,1.003981716314641,0.13959690503280378,False,False,623
HeaveFast,42,all,22,256.89684052475667,0.904633611688095,0.13721467128013415,0.904633611688095,0.13721467128013415,False,False,623
HeaveFast,42,all,23,323.7307751056255,0.8313361646607575,0.13053532602790616,0.8313361646607575,0.13053532602790616,False,False,623
HeaveFast,42,all,24,420.3034332854247,0.7104303266527654,0.10897865896020208,0.7104303266527654,0.10897865896020208,False,False,623
HeaveFast,42,all,25,527.207848736849,0.5673647964322769,0.07955799365311644,0.5673647964322769,0.07955799365311644,False,False,623
HeaveFast,42,all,26,625.15220607476,0.43530717260465346,0.049962341655846246,0.43530717260465346,0.049962341655846246,False,False,623
HeaveFast,42,all,27,741.9911521140331,0.317960541458934,0.025785216436806185,0.317960541458934,0.025785216436806185,False,False,623
HeaveFast,42,all,28,861.7602376512325,0.23626135733282216,0.02,0.23626135733282216,0.011880768689153328,False,True,623
HeaveFast,42,all,29,962.4660312625703,0.2002295306527832,0.02,0.2002295306527832,0.00986205220017998,False,True,623
HeaveFast,42,all,30,1061.8371484711388,0.18408383799505793,0.02,0.18408383799505793,0.009937921286370412,False,True,623
HeaveFast,42,all,31,1192.2491621086228,0.1473185117202198,0.02,0.1473185117202198,0.009402520402791993,False,True,623
HeaveFast,42,all,32,1963.265144121478,0.05,0.02,0.04726700201003735,0.008242812028498631,True,True,623
HeaveFast,42,all,33,2791.480209178727,,,,,False,False,0
HeaveFast,42,all,34,2927.8273667435824,,,,,False,False,0
HeaveFast,42,all,35,2927.827385917402,,,,,False,False,0
HeaveFast,42,all,36,2927.827385917402,,,,,False,False,0
HeaveFast,42,all,37,2927.827385917402,,,,,False,False,0
HeaveFast,42,all,38,2927.8273859174024,,,,,False,False,0
HeaveFast,42,all,39,2927.8273859174024,,,,,False,False,0
HeaveFast,42,all,40,2927.8273859174024,,,,,False,False,0
HeaveFast,42,lc,0,0.5,0.535021485101079,0.48732604630462645,0.535021485101079,0.48732604630462645,False,False,240
HeaveFast,42,lc,1,1.900000039835305,0.5286505567855861,0.4867790502347187,0.5286505567855861,0.4867790502347187,False,False,240
HeaveFast,42,lc,2,4.420000051785896,0.5164677126319109,0.4513419587652924,0.5164677126319109,0.4513419587652924,False,False,240
HeaveFast,42,lc,3,8.379999928296451,0.5193597840715444,0.4062325112586705,0.5193597840715444,0.4062325112586705,False,False,240
HeaveFast,42,lc,4,13.184999737086988,0.514577811925289,0.37463509523997984,0.514577811925289,0.37463509523997984,False,False,240
HeaveFast,42,lc,5,18.554999609614015,0.5376666631767425,0.3145670581188623,0.5376666631767425,0.3145670581188623,False,False,240
HeaveFast,42,lc,6,24.894999514009285,0.6027767457664202,0.24217095979485748,0.6027767457664202,0.24217095979485748,False,False,240
HeaveFast,42,lc,7,32.329999450272794,0.6664127517590515,0.19416273220960467,0.6664127517590515,0.19416273220960467,False,False,240
HeaveFast,42,lc,8,40.329999450272794,0.7431309505735237,0.1826530900079374,0.7431309505735237,0.1826530900079374,False,False,240
HeaveFast,42,lc,9,48.329999450272794,0.8178853036752481,0.1762892587066684,0.8178853036752481,0.1762892587066684,False,False,240
HeaveFast,42,lc,10,56.329999450272794,0.8910187498193389,0.16789300286878817,0.8910187498193389,0.16789300286878817,False,False,240
HeaveFast,42,lc,11,64.3299994502728,0.9271586677274795,0.15105085241579366,0.9271586677274795,0.15105085241579366,False,False,240
HeaveFast,42,lc,12,72.3299994502728,0.9949270792942908,0.1452818816262744,0.9949270792942908,0.1452818816262744,False,False,240
HeaveFast,42,lc,13,80.3299994502728,1.0472116922316534,0.14346158343025706,1.0472116922316534,0.14346158343025706,False,False,240
HeaveFast,42,lc,14,88.3299994502728,1.0576331473297607,0.15390030696171902,1.0576331473297607,0.15390030696171902,False,False,240
HeaveFast,42,lc,15,96.3299994502728,1.0675216794671518,0.16568311618394657,1.0675216794671518,0.16568311618394657,False,False,240
HeaveFast,42,lc,16,104.3299994502728,1.0985149628039454,0.17618611644306403,1.0985149628039454,0.17618611644306403,False,False,240
HeaveFast,42,lc,17,112.41128312438389,1.1515706293753276,0.17958589462641655,1.1515706293753276,0.17958589462641655,False,False,240
HeaveFast,42,lc,18,124.0181019371289,1.128739696166416,0.1864243531667754,1.128739696166416,0.1864243531667754,False,False,240
HeaveFast,42,lc,19,138.33536150362164,1.1076669888473256,0.18281884349463123,1.1076669888473256,0.18281884349463123,False,False,240
HeaveFast,42,lc,20,157.18840503599694,1.1132259682731178,0.15536025015174607,1.1132259682731178,0.15536025015174607,False,False,240
